year,state,population,registered,voted,norm_voter_reg,norm_voter_pop
2012,RI,817,552,469,0.8496376811594203,0.5740514075887393
2012,SC,3516,2479,2187,0.882210568777733,0.6220136518771331
2012,SD,616,454,370,0.8149779735682819,0.6006493506493507
2012,TN,4849,3210,2606,0.8118380062305296,0.5374303980202103
2012,TX,18642,10749,8643,0.8040747976555959,0.46363051174766656
2012,UT,1917,1138,1022,0.8980667838312829,0.5331246739697444
2012,VT,496,357,308,0.8627450980392157,0.6209677419354839
2012,VA,6094,4210,3778,0.8973871733966746,0.6199540531670495
2012,WA,5230,3533,3172,0.8978205491084065,0.6065009560229445
2012,WV,1452,982,690,0.7026476578411406,0.47520661157024796
2012,WI,4352,3318,3127,0.9424352019288729,0.7185202205882353
2012,WY,427,268,247,0.9216417910447762,0.5784543325526932
2012,US,235248,153157,132948,0.8680504319097396,0.5651397673944093
2010,AL,3526,2224,1509,0.6785071942446043,0.4279636982416336
2010,AK,498,317,242,0.7634069400630915,0.4859437751004016
2010,AZ,4831,2934,2170,0.7396046353101567,0.4491823638998137
2010,AR,2140,1256,841,0.6695859872611465,0.39299065420560747
2010,CA,27381,13864,10725,0.7735862665897288,0.3916949709652679
2010,CO,3768,2299,1826,0.7942583732057417,0.4846072186836518
2010,CT,2648,1641,1215,0.7404021937842779,0.4588368580060423
2010,DE,667,418,323,0.7727272727272727,0.48425787106446777
2010,DC,489,295,200,0.6779661016949152,0.40899795501022496
2010,FL,14227,7994,5572,0.6970227670753065,0.3916496801855627
2010,GA,7119,4076,2865,0.7028949950932286,0.4024441635061104
2010,HI,965,466,385,0.8261802575107297,0.39896373056994816
2010,ID,1114,666,498,0.7477477477477478,0.44703770197486536
2010,IL,9619,5823,3994,0.6859007384509703,0.41521987732612536
2010,IN,4777,2838,1826,0.6434108527131783,0.3822482729746703
2010,IA,2278,1547,1143,0.7388493859082095,0.5017559262510974
2010,KS,2059,1349,931,0.6901408450704225,0.45216124332200097
2010,KY,3250,2113,1479,0.6999526739233317,0.4550769230769231
2010,LA,3314,2425,1618,0.6672164948453608,0.48823174411587206
2010,ME,1034,779,604,0.7753530166880617,0.5841392649903289
2010,MD,4279,2509,1802,0.7182144280589876,0.42112643140920775
2010,MA,5097,3230,2452,0.7591331269349845,0.4810672944869531
2010,MI,7513,5127,3394,0.6619855666081529,0.4517502994808998
2010,MN,3982,2756,2104,0.7634252539912917,0.5283776996484179
2010,MS,2113,1532,983,0.641644908616188,0.4652153336488405
2010,MO,4506,3013,2004,0.6651178227680054,0.4447403462050599
2010,MT,753,491,386,0.7861507128309573,0.5126162018592297
2010,NE,1323,804,511,0.6355721393034826,0.3862433862433862
2010,NV,1957,996,731,0.7339357429718876,0.373530914665304
2010,NH,1024,666,470,0.7057057057057057,0.458984375
2010,NJ,6581,3656,2383,0.6518052516411379,0.36210302385655674
2010,NM,1489,746,579,0.7761394101876675,0.3888515782404298
2010,NY,14974,8395,5746,0.6844550327575938,0.38373180178976896
2010,NC,6998,4455,3009,0.6754208754208754,0.4299799942840812
2010,ND,488,361,266,0.7368421052631579,0.5450819672131147
2010,OH,8642,5601,3824,0.6827352258525263,0.44249016431381627
2010,OK,2695,1603,1061,0.6618839675608235,0.39369202226345085
2010,OR,2974,2005,1594,0.7950124688279302,0.5359784801613988
2010,PA,9631,6031,4104,0.6804841651467418,0.4261239746651438
2010,RI,812,510,348,0.6823529411764706,0.42857142857142855
2010,SC,3453,2304,1700,0.7378472222222222,0.4923255140457573
2010,SD,602,406,322,0.7931034482758621,0.5348837209302325
2010,TN,4745,2854,1714,0.6005606166783461,0.36122233930453107
2010,TX,17847,9493,5600,0.589908353523649,0.3137782260323864
2010,UT,1929,1095,695,0.634703196347032,0.3602903058579575
2010,VT,490,356,265,0.7443820224719101,0.5408163265306123
2010,VA,5873,3546,2257,0.6364918217710096,0.3843010386514558
2010,WA,5095,3367,2692,0.7995247995247995,0.5283611383709519
2010,WV,1420,883,581,0.6579841449603624,0.4091549295774648
2010,WI,4291,2908,2258,0.7764786795048143,0.5262176648799813
2010,WY,411,239,190,0.7949790794979079,0.46228710462287104
2010,US,229690,137263,95987,0.6992925988795232,0.4178980364839566
