year,state,office,party,norm_vote_count
2018,SD,House,DEM,0.28212820512820513
2018,TN,House,REP,0.0446697734492268
2018,TN,House,DEM,0.029547596606974553
2018,TX,House,REP,0.01110795674316658
2018,TX,House,DEM,0.00919897618092564
2018,UT,House,REP,0.1069485446985447
2018,UT,House,DEM,0.06479712404712404
2018,VT,House,DEM,0.5496997084548105
2018,VT,House,REP,0.20613702623906704
2018,VA,House,REP,0.03387114691031498
2018,VA,House,DEM,0.040810968545760565
2018,WA,House,DEM,0.04457172189181535
2018,WA,House,REP,0.03336834297581961
2018,WV,House,REP,0.12598878923766818
2018,WV,House,DEM,0.08765620328849029
2018,WI,House,REP,0.05118216682646213
2018,WI,House,DEM,0.05462975391498882
2018,WY,House,REP,0.4774738805970149
2018,WY,House,DEM,0.2235186567164179
2016,AL,House,REP,0.08062932172077066
2016,AL,House,DEM,0.04924077593032462
2016,AK,House,REP,0.4332067039106145
2016,AK,House,DEM,0.31010893854748606
2016,AZ,House,DEM,0.04112428457869634
2016,AZ,House,REP,0.05025349761526232
2016,AR,House,REP,0.13056576236263737
2016,AR,House,DEM,0.07647458791208792
2016,CA,House,REP,0.006685491700957049
2016,CA,House,DEM,0.008930202120609677
2016,CO,House,DEM,0.0624063503036887
2016,CO,House,REP,0.06363231445360723
2016,CT,House,DEM,0.10400623936471923
2016,CT,House,REP,0.0633195689166194
2016,DE,House,DEM,0.4795770020533881
2016,DE,House,REP,0.35380082135523616
2016,DC,House,DEM,0.6313761904761904
2016,FL,House,REP,0.019207109884770233
2016,FL,House,DEM,0.015959095569153876
2016,GA,House,REP,0.035732750487452045
2016,GA,House,DEM,0.03063035568274734
2016,HI,House,DEM,0.12420619946091645
2016,HI,House,REP,0.08158238993710691
2016,ID,House,REP,0.28325569620253166
2016,ID,House,DEM,0.132273417721519
2016,IL,House,DEM,0.02635536384096024
2016,IL,House,REP,0.022481582895723932
2016,IN,House,DEM,0.03547271073377805
2016,IN,House,REP,0.05469182080048514
2016,IA,House,REP,0.1226845202172601
2016,IA,House,DEM,0.10168512371756186
2016,KS,House,DEM,0.056672461752433935
2016,KY,House,REP,0.09244499397628558
2016,KY,House,DEM,0.05305965379494008
2016,LA,House,REP,0.027227309893704008
2016,LA,House,DEM,0.020964245893109343
2016,ME,House,DEM,0.2329078313253012
2016,ME,House,REP,0.21532951807228917
2016,MD,House,REP,0.03861946050096339
2016,MD,House,DEM,0.06567919075144509
2016,MA,House,DEM,0.07117540983606557
2016,MA,House,REP,0.03081427595628415
2016,MI,House,REP,0.02948895841001104
2016,MI,House,DEM,0.02962406217264517
2016,MN,House,REP,0.0546107201309329
2016,MS,House,REP,0.09866811594202898
2016,MS,House,DEM,0.06520231884057971
2016,MO,House,DEM,0.0390528802880288
2016,MO,House,REP,0.06002565256525653
2016,MT,House,REP,0.4911497418244406
2016,MT,House,DEM,0.35442168674698793
2016,NE,House,REP,0.1843773148148148
2016,NE,House,DEM,0.10965724206349206
2016,NV,House,DEM,0.09265371991247265
2016,NV,House,REP,0.09082859226841722
2016,NH,House,DEM,0.2205602883355177
2016,NH,House,REP,0.20717496723460027
2016,NJ,House,DEM,0.03644697879151661
2016,NJ,House,REP,0.03084495798319328
2016,NM,House,DEM,0.159
2016,NM,House,REP,0.124863173216885
2016,NY,House,REP,0.009751403777437467
2016,NY,House,DEM,0.017024388860529746
2016,NC,House,DEM,0.03173278338911762
2016,NC,House,REP,0.03624486833920797
2016,ND,House,REP,0.5518396226415094
2016,OH,House,REP,0.03055663552545692
2016,OH,House,DEM,0.02197416571475196
2016,OK,House,REP,0.10500953788285868
2016,OK,House,DEM,0.04100241805480924
2016,OR,House,REP,0.06991127154168608
2016,OR,House,DEM,0.08880461108523521
2016,PA,House,DEM,0.026822322850112688
2016,PA,House,REP,0.025442900564481112
2016,RI,House,DEM,0.24502602230483272
2016,RI,House,REP,0.13134200743494423
2016,SC,House,REP,0.06622529819694868
2016,SC,House,DEM,0.043169209431345355
2016,SD,House,REP,0.5427070938215103
2016,SD,House,DEM,0.30391304347826087
2016,TN,House,REP,0.051052325780101854
2016,TN,House,DEM,0.02782668580607676
2016,TX,House,REP,0.012236350271940914
2016,TX,House,DEM,0.00962779341521665
2016,UT,House,REP,0.12708440629470671
2016,UT,House,DEM,0.06371423462088699
2016,VA,House,REP,0.04189611275289838
2016,VA,House,DEM,0.038426625886048484
2016,WA,House,DEM,0.04444815668202765
2016,WA,House,REP,0.035967485919098825
2016,WV,House,REP,0.16247426067907997
2016,WV,House,DEM,0.0819456005841548
2016,WI,House,REP,0.06371145551208747
2016,WI,House,DEM,0.05191077339753235
2016,WY,House,REP,0.5137368421052632
2016,WY,House,DEM,0.24824342105263159
